model,n_params,d_mlp,nEN,EN,R2_full,R2_full_lo,R2_full_hi,R2_EN,R2_EN_lo,R2_EN_hi,R2_rand,R2_rand_lo,R2_rand_hi,gap_ci_low,max_abs_cos,gap_ci_low_OLD,gap_paired_point,gap_paired_lo,gap_paired_hi,gap_paired_p,corr_en_rand,R2_EN_selection_spread,R2_EN_seed_min,n_boot_used,R2_posctrl_corrH,R2_posctrl_pca,EN_act_var,entropy_var,verdict,verdict_floor05,verdict_floor10,verdict_floor15,verdict_NEW,verdict_NEW_seedmin
gpt2,163049041,3072,6,11.2378;11.2870;11.1611;11.2123;11.2910;11.598,0.7015,0.5322,0.705,0.3754,0.3274,0.4255,-0.0345,-0.0798,0.1706,0.1569,0.2905,0.1569,0.4098,0.1966,0.452,0.0,0.061,0.0,0.3754,1000.0,0.4686,0.4179,8.6423,4.0876,carry,carry,carry,carry,carry,carry
gpt2-medium,406236241,4096,6,23.248;23.2813;23.1312;23.3409;23.1108;23.2485,0.7416,0.5805,0.7199,0.3952,0.3506,0.449,0.0451,-0.0582,0.2091,0.1414,0.1945,0.1414,0.3501,0.1913,0.4571,0.0,0.086,0.0,0.3952,1000.0,0.4691,0.5536,2.1445,3.9862,carry,carry,carry,carry,carry,carry
gpt2-large,838222417,5120,5,35.4537;35.286;35.1997;35.4409;35.1703,0.6035,0.2962,0.5629,0.2061,0.1548,0.2484,0.0267,-0.0381,0.0813,0.0735,0.3158,0.0735,0.1793,0.1156,0.2548,0.0,0.1104,0.0034,0.1988,1000.0,0.1763,0.1952,0.3021,3.4276,carry,carry,carry,carry,carry,carry
distilgpt2,120540241,3072,6,5.2870;5.1611;5.2910;5.598;5.2173;5.480,0.6546,0.4731,0.6502,0.4014,0.3318,0.4595,0.0236,-0.0652,0.1093,0.2224,0.4189,0.2224,0.3779,0.2793,0.4828,0.0,0.1258,0.0339,0.3296,1000.0,0.2629,0.2802,0.4637,3.9149,carry,carry,carry,carry,carry,carry
EleutherAI/pythia-160m,162334848,3072,0,,,,,,,,,,,,,,,,,,,,,,,,,,no-EN,,,,no-EN,no-EN
pythia-410m,405283968,4096,6,23.746;23.1332;23.1357;23.1449;23.652;23.2805,0.6522,0.4424,0.659,0.0217,-0.0251,0.0621,0.0126,-0.0381,0.1421,-0.1672,0.082,-0.1672,0.0091,-0.1315,0.0751,0.579,-0.0231,0.0037,0.0217,1000.0,0.4206,0.3814,15.8748,3.1684,no,no,no,no,no,no
pythia-1b,1011696768,8192,6,15.651;15.707;15.5599;15.5979;15.2296;15.6904,0.5525,0.1004,0.4767,0.0243,-0.0026,0.0447,0.0316,-0.036,0.0827,-0.0853,0.0677,-0.0853,-0.0073,-0.0659,0.0623,0.374,0.0008,0.0169,0.0004,1000.0,0.3045,0.1667,0.7843,3.0065,no,no,no,no,no,no
pythia-1.4b,1414497408,8192,6,23.517;23.583;23.3636;23.4132;23.5295;23.7655,0.6151,0.2007,0.5521,0.105,0.0415,0.1482,0.0383,-0.0397,0.1209,-0.0794,0.1392,-0.0794,0.0668,-0.0366,0.1618,0.073,0.0542,0.0569,0.0938,1000.0,0.4928,0.44,1.3207,2.8992,no,no,no,no,no,no
EleutherAI/gpt-neo-125M,163835473,3072,4,11.1576;11.109;11.1213;11.2791,0.6291,0.4133,0.6407,-0.0002,-0.0218,0.0156,-0.0076,-0.0411,0.1529,-0.1747,0.0664,-0.1747,0.0074,-0.157,0.0456,0.75,-0.0088,0.0026,-0.0002,1000.0,0.386,0.1141,1.2993,3.7442,no,no,no,no,no,no
bigscience/bloom-560m,818363392,4096,1,23.708,0.633,0.3955,0.6233,0.0117,0.0039,0.0199,0.0506,-0.015,0.0575,-0.0536,0.0116,-0.0536,-0.0389,-0.0459,0.0283,0.211,-0.0278,0.0,0.0117,1000.0,0.1601,0.0117,1.4523,3.5328,no,no,no,no,no,no
Qwen/Qwen2.5-0.5B,630435200,4864,5,23.537;23.4861;23.4391;23.4069;23.281,0.6423,0.3815,0.6526,0.1942,0.0215,0.3193,0.0155,-0.0986,0.0988,-0.0773,0.2547,-0.0773,0.1788,0.0097,0.3399,0.019,0.1137,0.0584,0.0667,1000.0,0.3101,0.1379,50.5896,3.0992,no,no,no,no,carry,no
facebook/opt-125m,163858528,3072,4,11.2476;11.1971;11.1433;11.264,0.6196,0.4019,0.6121,0.0125,-0.0164,0.0258,0.0769,-0.0365,0.0949,-0.1113,0.193,-0.1113,-0.0645,-0.0998,0.0471,0.471,-0.0006,0.0,0.0125,1000.0,0.3432,0.0258,0.0019,3.7931,no,no,no,no,no,no
roneneldan/TinyStories-33M,105977425,3072,0,,,,,,,,,,,,,,,,,,,,,,,,,,no-EN,,,,no-EN,no-EN
