model,seed,nEN,EN,R2_EN_point_fixedeval,gap_paired_lo,gap_paired_point,gap_paired_p
gpt2,0,6,11.2378;11.2870;11.1611;11.2123;11.2910;11.598,0.3754,0.1966,0.4098,0.0
gpt2,1,6,11.2378;11.2870;11.1611;11.2123;11.2910;11.598,0.3754,0.1966,0.4098,0.0
gpt2,2,6,11.2378;11.2870;11.1611;11.2123;11.2910;11.598,0.3754,0.1966,0.4098,0.0
gpt2-medium,0,6,23.248;...,0.3952,0.1913,0.3501,0.0
gpt2-medium,1,6,23.248;...,0.3952,0.1913,0.3501,0.0
gpt2-medium,2,6,23.248;...,0.3952,0.1913,0.3501,0.0
gpt2-large,0,5,35.4537;...,0.2061,0.1156,0.1793,0.0
gpt2-large,1,4,35.4537;...,0.1988,0.1084,0.1923,0.0
gpt2-large,2,4,35.4537;...,0.1988,0.1084,0.1923,0.0
distilgpt2,0,6,5.2870;...,0.4014,0.2793,0.3779,0.0
distilgpt2,1,6,5.2870;...,0.3296,0.2018,0.361,0.0
distilgpt2,2,6,5.2870;...,0.3296,0.2018,0.361,0.0
EleutherAI/pythia-160m,0,0,,,,,
EleutherAI/pythia-160m,1,0,,,,,
EleutherAI/pythia-160m,2,0,,,,,
pythia-410m,0,6,23.746;...,0.0217,-0.1315,0.0091,0.579
pythia-410m,1,6,23.1357;...,0.0306,-0.1155,0.0075,0.498
pythia-410m,2,6,23.1357;...,0.0246,-0.1262,0.0119,0.547
pythia-1b,0,6,15.651;...,0.0243,-0.0659,-0.0073,0.374
pythia-1b,1,2,15.6904;15.1883,0.0004,-0.0457,-0.0068,0.614
pythia-1b,2,3,15.6756;15.651;15.3636,0.0417,-0.0163,0.0322,0.065
pythia-1.4b,0,6,23.517;...,0.105,-0.0366,0.0668,0.073
pythia-1.4b,1,6,23.583;...,0.0938,-0.0604,0.0021,0.107
pythia-1.4b,2,6,23.1900;...,0.2196,0.0785,0.2192,0.004
EleutherAI/gpt-neo-125M,0,4,11.1576;...,-0.0002,-0.157,0.0074,0.75
EleutherAI/gpt-neo-125M,1,4,11.1576;...,0.0061,-0.153,0.0137,0.685
EleutherAI/gpt-neo-125M,2,5,11.1576;...,0.0041,-0.1654,0.0617,0.777
bigscience/bloom-560m,0,1,23.708,0.0117,-0.0459,-0.0389,0.211
bigscience/bloom-560m,1,1,23.708,0.0117,-0.0459,-0.0389,0.211
bigscience/bloom-560m,2,1,23.708,0.0117,-0.0459,-0.0389,0.211
Qwen/Qwen2.5-0.5B,0,5,23.537;...,0.1942,0.0097,0.1788,0.019
Qwen/Qwen2.5-0.5B,1,6,23.537;...,0.1865,-0.0129,0.187,0.035
Qwen/Qwen2.5-0.5B,2,5,23.537;...,0.0667,-0.3016,0.0699,0.287
facebook/opt-125m,0,4,11.2476;...,0.0125,-0.0998,-0.0645,0.471
facebook/opt-125m,1,4,11.2476;...,0.0125,-0.0998,-0.0645,0.471
facebook/opt-125m,2,4,11.1971;...,0.0125,-0.0998,-0.0645,0.471
