model,target_neuron,target_rule,dH_mean_EN,dH_mean_EN_lo,dH_mean_EN_hi,dH_mean_rand,dH_mean_rand_sd,dH_clip_EN,dH_clip_EN_lo,dH_clip_EN_hi,dH_clip_rand,dH_clip_rand_sd,abs_dH_clip_EN,dH_sign,perEN_clip_dH
gpt2,11.2378,max d|resid|,-0.0295,-0.0451,-0.0177,0.0007,0.0005,-0.0355,-0.0571,-0.0215,0.0005,0.0005,0.0355,down,"{""11.2378"": -0.0209}"
gpt2-medium,23.2480,max d|resid|,-0.0519,-0.0627,-0.0407,-0.0042,0.0053,-0.044,-0.0531,-0.0346,-0.0001,0.0005,0.044,down,"{""23.248"": -0.0572}"
gpt2-large,35.4537,max d|resid|,-0.0415,-0.0515,-0.0321,0.0001,0.0003,-0.0473,-0.0566,-0.0393,-0.0003,0.0005,0.0473,down,"{""35.4537"": -0.0333}"
distilgpt2,5.2870,max d|resid|,-0.0471,-0.0786,-0.0207,0.0018,0.0035,-0.0983,-0.1348,-0.0659,0.0012,0.0037,0.0983,down,"{""5.2870"": -0.0939}"
pythia-410m,23.7460,max d|resid|,1.1434,0.6374,1.916,-0.0076,0.0447,1.119,0.6065,1.8947,-0.0078,0.0446,1.119,up,"{""23.746"": 0.2515}"
pythia-1b,15.6510,max d|resid|,1.4267,0.6876,2.3066,0.0009,0.0118,1.4268,0.6877,2.3065,0.0014,0.0117,1.4268,up,"{""15.651"": 0.0716}"
pythia-1.4b,23.5170,max d|resid|,0.4716,0.2774,0.7147,0.0065,0.0062,0.4901,0.2935,0.7294,0.0069,0.0061,0.4901,up,"{""23.517"": 0.1268}"
EleutherAI/gpt-neo-125M,11.1576,max d|resid|,0.6566,0.3017,0.956,0.003,0.0276,0.6527,0.2904,0.9528,-0.0006,0.0176,0.6527,up,"{""11.1576"": 0.4319}"
bigscience/bloom-560m,23.7080,max d|resid|,-0.2549,-0.4321,-0.1041,-0.0003,0.0004,-0.2549,-0.4321,-0.1041,-0.0,0.0001,0.2549,down,"{""23.708"": -0.0805}"
Qwen/Qwen2.5-0.5B,23.5370,max d|resid|,-0.1035,-0.1845,-0.0521,-0.001,0.0017,-0.0414,-0.0738,-0.0197,0.0001,0.0011,0.0414,down,"{""23.537"": -0.0442}"
facebook/opt-125m,11.2476,max d|resid|,2.5202,2.0889,2.7358,0.3205,0.6397,2.52,2.0883,2.7358,0.3205,0.6395,2.52,up,"{""11.2476"": 0.9403}"
